,X.1,pid,X,PID,age,StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,time_pid_First.Click,time_pid_Last.Click,time_pid_Page.Submit,time_pid_Click.Count,time_swls_First.Click,time_swls_Last.Click,time_swls_Page.Submit,time_swls_Click.Count,swls_1,swls_2,swls_3,swls_4,swls_5,time_cesd_First.Click,time_cesd_Last.Click,time_cesd_Page.Submit,time_cesd_Click.Count,cesd_1,cesd_2,cesd_3,cesd_4,cesd_5,cesd_6,cesd_7,cesd_8,cesd_9,cesd_10,time_bfi2_First.Click,time_bfi2_Last.Click,time_bfi2_Page.Submit,time_bfi2_Click.Count,bfi2_1,bfi2_2,bfi2_3,bfi2_4,bfi2_5,bfi2_6,bfi2_7,bfi2_8,bfi2_9,bfi2_10,bfi2_11,bfi2_12,bfi2_13,bfi2_14,bfi2_15,bfi2_16,bfi2_17,bfi2_18,bfi2_19,bfi2_20,bfi2_21,bfi2_22,bfi2_23,bfi2_24,bfi2_25,bfi2_26,bfi2_27,bfi2_28,bfi2_29,bfi2_30,bfi2_31,bfi2_32,bfi2_33,bfi2_34,bfi2_35,bfi2_36,bfi2_37,bfi2_38,bfi2_39,bfi2_40,bfi2_41,bfi2_42,bfi2_43,bfi2_44,bfi2_45,bfi2_46,bfi2_47,bfi2_48,bfi2_49,bfi2_50,bfi2_51,bfi2_52,bfi2_53,bfi2_54,bfi2_55,bfi2_56,bfi2_57,bfi2_58,bfi2_59,bfi2_60,time_pvq_First.Click,time_pvq_Last.Click,time_pvq_Page.Submit,time_pvq_Click.Count,pvq_1,pvq_2,pvq_3,pvq_4,pvq_5,pvq_6,pvq_7,pvq_8,pvq_9,pvq_10,pvq_11,pvq_12,pvq_13,pvq_14,pvq_15,pvq_16,pvq_17,pvq_18,pvq_19,pvq_20,pvq_21,pvq_22,pvq_23,pvq_24,pvq_25,pvq_26,pvq_27,pvq_28,pvq_29,pvq_30,pvq_31,pvq_32,pvq_33,pvq_34,pvq_35,pvq_36,pvq_37,pvq_38,pvq_39,pvq_40,pvq_41,pvq_42,pvq_43,pvq_44,pvq_45,pvq_46,pvq_47,pvq_48,pvq_49,pvq_50,pvq_51,pvq_52,pvq_53,pvq_54,pvq_55,pvq_56,pvq_57,time_ECRS_First.Click,time_ECRS_Last.Click,time_ECRS_Page.Submit,time_ECRS_Click.Count,ecrs._1,ecrs._2,ecrs._3,ecrs._4,ecrs._5,ecrs._6,ecrs._7,ecrs._8,ecrs._9,ecrs._10,ecrs._11,ecrs._12,time_ergs_First.Click,time_ergs_Last.Click,time_ergs_Page.Submit,time_ergs_Click.Count,ergs_1,ergs_2,ergs_3,ergs_4,ergs_5,ergs_6,ergs_7,ergs_8,ergs_9,ergs_10,ergs_11,ergs_12,ergs_13,ergs_14,ergs_15,ergs_16,ergs_17,ergs_18,time_iem_First.Click,time_iem_Last.Click,time_iem_Page.Submit,time_iem_Click.Count,iem_1,iem_2,iem_3,iem_4,iem_5,iem_6,iem_7,iem_8,iem_9,iem_10,iem_11,iem_12,iem_13,iem_14,iem_15,iem_16,iem_17,iem_18,iem_19,iem_20,time_crq.s_First.Click,time_crq.s_Last.Click,time_crq.s_Page.Submit,time_crq.s_Click.Count,crq.s_1,crq.s_2,crq.s_3,time_IER.close_First.Click,time_IER.close_Last.Click,time_IER.close_Page.Submit,time_IER.close_Click.Count,IER.close_1,IER.close_2,IER.close_3,IER.close_4,IER.close_5,IER.close_6,time_erq_First.Click,time_erq_Last.Click,time_erq_Page.Submit,time_erq_Click.Count,erq_1,erq_2,erq_3,erq_4,erq_5,erq_6,erq_7,erq_8,erq_9,erq_10,erq_11,erq_12,erq_13,erq_14,erq_15,erq_16,erq_17,erq_18,erq_19,erq_20,time_scs_First.Click,time_scs_Last.Click,time_scs_Page.Submit,time_scs_Click.Count,scs_1,scs_2,scs_3,scs_4,scs_5,scs_6,scs_7,scs_8,scs_9,scs_10,scs_11,scs_12,scs_13,scs_14,scs_15,scs_16,scs_17,scs_18,scs_19,scs_20,scs_21,scs_22,scs_23,scs_24,scs_25,scs_26,scs_27,scs_28,scs_29,scs_30,csi_1_1,csi_1_2,csi_1_3,csi_1_4,csi_2_1,csi_2_2,csi_2_3,csi_2_4,csi_3_1,csi_3_2,csi_3_3,csi_4_1,csi_4_2,csi_4_3,csi_5_1,csi_5_2,csi_5_3,csi_6_1,csi_6_2,csi_6_3,time_demo_First.Click,time_demo_Last.Click,time_demo_Page.Submit,time_demo_Click.Count,gender,gender_6_TEXT,acad.year,acad.year_5_TEXT,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_9_TEXT,country,country_2_TEXT,motherUSA,motherUSA_2_TEXT,fatherUSA,fatherUSA_2_TEXT,socialclass,rel.status,rel.duration,id,swls,cesd_5_r,cesd_8_r,cesd,iem_sit_mod,iem_att_dep,iem_reap,iem_supp,race,race_text,swls_z,cesd_neg_z,well_being_z,gender_dummy,iem_supp_log
1,1,104,1,104,18,9/24/21 10:19,9/24/21 11:34,0,128.252.3.164,100,4461,1,9/24/21 11:34,R_ehC0jINrQIEL11D,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,308.749,308.749,320.448,1,11.926,33.231,40.85,6,6,6,6,4,6,7.444,100.249,101.418,13,0,0,0,2,3,0,0,3,0,1,5.176,224.371,225.239,65,4,5,4,3,1,4,5,4,4,3,2,2,4,1,3,2,2,3,3,5,3,1,4,5,1,2,3,4,4,5,2,5,2,2,5,2,2,4,1,3,4,4,4,4,1,4,1,1,4,2,3,5,4,1,2,4,4,2,2,3,4.023,250.778,259.668,67,6,6,6,3,3,5,2,3,4,4,5,4,3,3,2,4,3,5,4,3,2,4,6,5,4,4,3,3,4,4,6,6,4,4,2,5,4,3,4,3,4,5,4,3,3,2,4,5,5,4,5,3,4,6,5,4,6,7.135,82.802,84.984,13,4,6,4,3,5,3,5,5,4,4,5,3,31.062,94.131,104.937,19,2,4,6,1,1,1,4,4,4,3,3,4,5,4,3,3,4,4,21.56,143.304,144.331,22,5,5,5,4,4,3,3,4,4,5,6,6,5,5,5,2,2,2,2,1,5.233,10.367,14.756,3,3,3,3,32.947,50.896,59.207,7,3,6,1,5,4,5,12.745,143.461,148.03,27,4,2,4,2,5,2,4,6,2,6,4,3,4,5,5,5,4,4,5,4,11.666,138.978,140.266,41,5,5,3,4,5,6,6,4,5,6,6,4,5,4,2,5,2,6,4,5,3,4,3,3,5,5,6,5,6,2,6,3,6,3,5,5,4,6,7,7,3,3,5,6,7,1,1,5,7,7,6.622,41.461,43.855,13,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,China,2,China,2,China,4,1,NA,NA,5.6,0,0,3,4.6,3.8,5.4,1.8,3,East Asian,0.552846312,1.359087801,1.084102663,1,0.587786665
2,2,106,2,106,18,9/24/21 11:52,9/24/21 12:11,0,128.252.3.167,100,1131,1,9/24/21 12:11,R_V1NCdOIkrdVIBvb,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,2.541,2.541,11.537,1,10.354,24.1,25.299,7,6,5,6,6,3,4.196,26.457,27.643,11,2,1,1,1,2,3,1,2,0,1,9.58,160.858,162.144,73,4,4,1,4,4,5,5,3,3,2,1,3,4,5,2,3,2,3,4,5,5,2,4,2,1,2,4,5,3,1,5,3,5,5,5,3,4,3,4,4,3,3,3,2,1,5,5,1,1,3,2,4,2,3,2,3,2,5,3,3,6.546,236.951,238.317,71,6,2,5,5,6,5,3,6,3,2,4,3,3,5,1,3,1,5,6,4,6,4,6,5,5,6,2,1,6,2,6,6,4,3,2,2,3,3,5,1,6,5,2,3,5,4,3,5,5,4,4,6,5,4,4,5,2,8.763,56.546,57.243,14,6,4,5,3,5,2,5,1,4,4,3,6,7.929,74.748,75.836,21,4,5,5,2,1,3,3,5,5,4,4,3,4,2,5,3,3,4,27.513,114.529,115.864,28,4,3,5,3,2,3,4,3,3,2,5,5,3,3,5,1,1,1,1,1,4.236,10.237,11.94,4,5,5,3,14.54,28.387,29.895,6,3,4,1,5,4,3,34.852,110.365,111.164,27,6,3,4,1,5,2,4,5,2,4,7,5,4,6,5,4,4,2,3,4,7.642,110.4,110.904,45,7,5,3,5,4,7,7,4,6,6,6,7,6,7,6,6,5,7,3,3,2,2,4,2,5,5,7,5,3,2,5,3,5,2,4,6,5,7,7,7,6,6,5,5,2,7,2,7,7,7,1.549,35.518,37.808,12,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,Argentina,2,Argentina,5,1,NA,NA,5.2,1,1,12,3.4,3,4.2,1,7,Hispanic/Latin,0.223455845,-0.377093548,-0.087115472,1,0
3,3,100,3,100,20,9/24/21 15:05,9/24/21 15:42,0,128.252.3.164,100,2203,1,9/24/21 15:42,R_BKX1d1Wnc5ecwzn,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,306.578,306.578,320.819,1,9.43,18.267,25.179,5,6,6,7,7,7,9.101,40.479,42.019,11,0,2,1,1,3,0,0,3,1,1,3.604,202.135,204.63,63,3,5,4,4,1,1,5,4,4,5,1,2,5,2,5,3,1,3,2,5,2,1,4,4,1,2,5,4,4,1,4,4,1,2,5,4,2,5,3,5,3,2,5,4,1,4,1,5,3,1,3,5,5,2,1,4,4,3,2,5,5.112,272.987,274.143,64,6,1,6,6,6,6,3,6,5,5,6,5,3,6,1,3,1,5,6,6,3,5,6,6,3,4,3,3,6,1,6,6,3,3,2,5,5,1,6,1,5,6,4,1,6,4,4,6,4,2,6,5,6,5,6,6,5,9.855,80.756,81.983,15,7,6,2,3,7,5,2,2,5,6,2,7,20.352,177.04,190.669,28,6,4,2,2,2,1,4,5,6,4,4,2,4,4,4,5,4,5,10.12,162.659,163.818,33,4,4,4,4,6,6,6,6,6,3,3,4,3,3,4,1,1,1,1,1,12.533,17.124,20.11,4,4,4,4,18.167,68.188,70.038,8,6,6,1,6,7,5,24.459,186.816,189.138,29,7,4,7,1,5,1,4,5,4,6,4,4,6,6,6,4,4,4,3,5,7.087,173.216,174.327,43,5,5,4,4,3,4,5,4,6,6,5,2,6,6,7,2,6,7,3,3,4,2,3,4,5,3,6,6,3,3,6,2,1,1,2,6,7,4,3,7,7,1,3,1,1,1,1,5,7,7,1.929,40.387,42.79,17,2,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,Canada,2,Canada,5,1,NA,NA,6.6,0,0,6,4.4,5.4,3.4,1,6,White,1.376322481,0.780360685,1.222879986,1,0
4,4,101,4,101,20,9/24/21 15:40,9/24/21 16:33,0,128.252.3.167,100,3146,1,9/24/21 16:33,R_1DpA73cWlM1mAlD,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,1.069,1.069,343.989,1,4.646,6.697,9.737,5,7,7,7,7,7,3.999,31.433,37.381,11,0,3,0,1,2,0,0,3,0,0,9.206,206.385,207.435,65,5,5,1,5,4,4,5,1,5,4,2,5,5,2,4,2,1,5,2,4,4,1,1,5,1,3,5,2,4,2,4,5,4,2,3,1,2,5,1,2,2,2,5,5,2,4,1,1,5,5,4,5,5,1,2,4,5,2,2,3,16.208,277.731,278.617,63,3,4,6,5,5,4,2,4,2,5,6,6,6,5,1,6,1,6,5,4,1,3,6,4,6,5,1,5,5,4,6,6,1,2,1,4,5,1,6,1,4,6,1,1,4,4,4,5,4,5,6,6,6,6,5,5,4,13.465,92.495,95.474,14,6,6,2,2,3,1,3,2,5,1,1,5,11.503,73.954,78.145,19,7,5,2,1,1,1,4,4,4,2,3,1,1,1,1,2,2,2,14.502,160.595,163.479,31,2,6,4,3,4,3,3,3,1,2,1,5,3,5,2,1,1,1,5,1,5.859,18.173,22.604,4,4,2,2,16.816,56.901,57.849,7,2,7,1,6,6,6,25.059,153.37,154.83,23,7,3,7,1,7,5,7,6,5,6,6,3,5,3,7,6,7,6,2,7,5.793,199.387,200.839,39,5,6,6,5,5,6,3,5,2,5,6,4,2,6,7,1,2,7,2,1,6,6,2,5,7,6,1,5,6,3,6,3,1,2,4,7,6,1,4,7,6,7,1,1,1,1,1,7,7,7,1.588,32.194,34.514,14,2,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,2,Argentina,2,Argentina,4,3,4,NA,7,1,0,5,3.8,2.4,3.2,1.8,10,Multiple,1.705712948,0.973269724,1.519033646,1,0.587786665
5,5,103,5,103,18,9/27/21 15:27,9/27/21 16:04,0,128.252.3.164,100,2225,1,9/27/21 16:04,R_1GWd0VhZxhI5OHQ,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,96.871,97.231,404.684,2,17.07,28.702,29.995,5,6,6,6,7,6,10.085,25.402,26.563,10,0,0,0,1,2,0,0,3,0,0,2.999,180.262,185.858,94,4,4,4,4,1,4,4,3,3,4,1,4,4,4,5,4,2,5,4,4,4,3,2,4,3,1,3,4,4,2,4,4,3,5,4,4,4,5,3,3,4,5,4,2,2,3,2,3,2,3,1,4,5,2,2,3,5,4,4,5,20.408,312.113,312.9,85,4,2,5,5,4,6,1,2,6,6,6,6,4,3,2,5,2,5,5,2,4,5,6,5,6,6,5,2,4,4,6,6,4,5,5,5,6,1,6,2,6,5,5,2,2,6,6,5,6,3,6,6,5,6,6,6,4,11.942,68.853,92.955,20,7,6,1,2,7,6,1,7,7,3,1,6,31.377,104.377,105.675,26,4,3,4,3,1,3,3,2,2,5,5,5,5,5,5,4,5,5,34.793,112.555,115.552,26,5,5,5,4,5,5,6,6,6,6,4,6,6,5,4,1,1,1,1,1,5.096,16.282,17.041,4,4,4,3,46.173,57.906,60.843,7,5,4,1,7,7,7,67.127,240.671,242.554,29,7,2,4,1,3,1,5,3,1,5,3,3,1,2,2,2,2,2,3,7,39.461,183.642,185.184,51,7,5,2,6,5,7,6,3,3,5,6,3,3,5,7,7,4,6,6,2,5,3,6,3,5,4,5,5,3,5,5,3,3,1,4,2,6,2,6,7,3,2,5,5,6,1,1,5,5,5,1.214,30.073,33.47,11,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,China,2,China,4,3,6,NA,6.2,1,0,2,4.8,5.8,5,1,3,East Asian,1.046932013,1.55199684,1.473641623,1,0
6,6,109,6,109,19,9/27/21 16:32,9/27/21 17:06,0,128.252.3.167,100,2048,1,9/27/21 17:06,R_SBHpwqghxwyBUfT,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,0.944,0.944,18.288,1,6.317,23.332,44.21,8,6,6,4,5,2,9.136,151.762,153.039,13,0,3,1,2,1,1,0,2,1,3,9.627,250.339,387.256,74,5,5,2,1,3,1,5,4,4,4,2,2,5,3,4,3,1,3,4,4,2,1,4,1,2,2,5,3,3,2,4,4,4,5,4,3,2,4,4,4,4,3,4,3,2,3,2,1,1,2,4,5,4,4,2,4,5,4,3,4,22.572,298.646,299.472,74,5,3,4,6,6,4,4,6,3,5,5,2,4,4,2,4,1,3,5,6,6,3,6,4,4,4,3,3,6,3,4,6,3,6,1,6,4,1,4,3,6,6,3,2,6,4,4,5,5,5,4,6,6,4,5,2,5,13.436,89.098,104.131,16,6,5,2,4,5,1,5,5,4,3,5,5,1.235,133.484,137.705,24,4,5,5,4,4,4,6,5,5,6,6,6,7,7,6,6,6,6,12.945,194.566,201.112,26,7,6,6,6,5,6,6,6,7,6,2,5,5,5,1,1,1,1,1,1,9.509,15.041,15.689,3,4,3,4,2.184,65.528,66.041,11,4,3,1,4,5,6,10.949,159.227,161.191,33,5,5,5,2,2,1,6,5,2,5,6,6,6,6,3,3,3,3,3,3,0.577,138.535,141.976,38,5,3,5,5,2,4,5,6,2,5,5,4,1,6,3,5,5,2,5,1,7,4,5,2,5,6,3,7,1,7,7,4,4,2,4,4,7,6,5,6,6,4,2,1,1,6,5,4,6,6,1.647,59.176,60.835,21,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,Japan,2,Japan,2,1,NA,NA,4.6,2,1,14,6,6.2,3.6,1,3,East Asian,-0.270629856,-0.762911626,-0.586037492,1,0
7,7,110,7,110,19,9/27/21 16:52,9/27/21 17:30,0,128.252.3.164,100,2251,1,9/27/21 17:30,R_25Nq8DsyjBoY6gg,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,2.069,2.069,327.612,1,19.331,31.003,32.254,6,2,2,3,3,1,7.129,28.258,28.939,10,3,3,3,3,2,3,1,1,3,2,14.383,176.912,177.636,71,2,5,2,1,5,2,5,1,4,5,5,1,4,5,4,5,1,5,5,1,1,1,2,1,1,1,5,1,1,5,5,5,4,5,3,2,1,4,5,5,1,5,5,2,4,2,5,1,1,5,4,5,4,5,1,1,5,5,5,4,4.926,210.502,211.296,64,1,5,6,6,6,6,6,4,3,6,6,2,1,4,2,5,1,4,5,5,6,1,6,4,3,6,1,2,6,3,6,6,4,6,1,6,4,1,6,3,6,6,1,1,4,4,5,6,6,5,6,6,6,5,3,6,6,13.878,53.803,54.712,12,7,2,7,1,1,1,7,5,1,1,7,1,28.8,60.769,61.729,18,5,5,5,3,1,3,7,7,7,7,7,7,7,7,7,7,7,7,27.282,96.747,99.715,23,7,5,7,6,7,7,7,7,7,7,6,6,7,7,6,1,1,1,1,1,18.262,26.812,27.269,4,5,5,4,19.633,58.096,59.207,10,7,7,1,5,7,5,30.508,145.614,146.059,26,5,5,5,2,1,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,13.614,125.075,125.425,33,3,7,7,6,5,4,5,7,4,1,5,5,5,5,1,7,1,1,7,2,5,5,6,1,1,7,4,7,2,7,4,2,4,2,5,4,6,6,6,7,7,2,4,7,1,1,1,5,7,7,2.856,28.918,67.58,9,2,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,4,1,NA,NA,2.2,1,2,24,6.4,7,6.4,1,6,White,-2.246972661,-2.692002014,-2.80049169,1,0
8,8,108,8,108,21,9/27/21 17:24,9/27/21 18:00,0,128.252.3.167,100,2196,1,9/27/21 18:00,R_3G8j0aK65lgjiLC,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,0.971,0.971,318.532,1,21.848,33.691,34.563,6,6,6,6,7,6,9.627,37.315,37.697,14,2,1,0,1,1,0,1,2,2,1,2.563,193.49,194.329,86,1,2,2,4,2,2,4,2,4,4,2,4,4,2,1,5,2,4,4,4,2,2,2,2,4,4,1,4,3,4,5,4,4,3,4,2,2,4,1,2,2,4,3,2,4,4,4,1,4,4,2,4,5,1,4,2,2,2,4,1,2.648,281.171,282.059,93,2,4,3,3,4,3,5,5,3,4,5,6,2,2,2,4,3,5,3,4,2,2,5,4,5,3,2,2,6,4,6,6,4,4,2,3,4,5,5,3,5,6,2,5,4,2,4,6,3,3,3,2,6,6,2,5,2,7.963,62.342,63.392,15,5,3,2,2,5,3,5,6,3,3,5,6,13.972,82.001,82.864,28,3,5,5,1,2,1,3,7,7,1,2,3,3,5,2,2,2,2,12.236,128.94,129.749,24,4,5,4,3,5,2,5,5,5,6,2,6,6,2,3,1,1,1,3,1,7.213,21.037,21.565,4,3,2,3,8.868,37.652,38.66,8,3,4,1,7,6,6,9.16,111.83,112.583,24,5,5,6,1,6,1,6,6,2,6,7,7,7,6,6,2,6,6,6,7,6.125,131.852,132.617,39,2,1,2,6,5,6,5,2,6,3,6,1,2,1,1,3,2,1,1,5,2,5,1,5,5,2,4,3,5,3,5,3,1,1,3,6,6,4,4,7,6,3,7,5,1,1,1,2,7,7,2.587,31.409,32.37,12,2,NA,4,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,2,Japan,1,NA,1,1,NA,NA,6.2,2,1,11,4.2,4.6,3.8,1.4,10,Multiple,1.046932013,-0.184184509,0.489194089,1,0.336472237
9,9,113,9,113,NA,9/28/21 10:05,9/28/21 10:42,0,128.252.3.164,100,2249,1,9/28/21 10:42,R_3p9XUjZgdRjFaaM,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,1303.225,1303.225,1313.018,1,23.447,31.829,32.4,5,4,5,5,5,4,4.469,25.903,28.143,10,1,1,1,2,2,2,0,2,2,1,3.781,155.013,155.893,62,5,4,1,3,4,4,5,4,4,4,2,2,4,2,4,2,1,5,4,3,4,3,2,4,1,2,3,2,4,3,2,3,4,5,5,4,3,4,4,4,4,3,4,4,2,4,3,1,1,4,2,4,5,4,1,4,3,1,1,4,5.537,156.51,157.333,64,3,3,5,5,4,5,2,3,5,5,5,5,5,5,2,4,5,4,5,3,5,5,5,5,6,6,6,4,5,4,6,5,4,5,4,5,6,5,6,5,6,5,5,5,4,5,6,5,5,6,6,6,6,6,4,4,6,11.005,50.773,51.454,16,7,7,4,6,7,4,5,2,6,6,4,7,10.309,36.66,37.213,18,7,7,7,3,1,1,1,7,7,7,7,7,7,7,7,7,7,7,10.144,71.637,72.42,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,6,1,7.233,11.101,12.557,4,4,4,3,52.184,65.285,66.015,7,6,6,1,7,6,6,10.16,68.6,69.935,20,6,7,4,1,6,6,6,6,7,6,6,7,7,7,7,7,7,7,7,7,8.67,109.511,110.336,34,6,6,4,5,4,7,7,4,6,6,6,6,6,7,6,6,6,7,6,2,7,6,6,2,5,6,4,6,2,5,5,4,6,4,5,6,7,4,3,5,5,5,4,5,3,3,6,3,6,6,4.049,35.755,38.776,10,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,Vietnam,2,Vietnam,2,1,NA,NA,4.6,1,1,12,7,7,7,2,4,Southeast Asian,-0.270629856,-0.377093548,-0.367271373,1,0.693147181
10,10,107,10,107,21,9/28/21 11:37,9/28/21 12:08,0,128.252.3.164,100,1907,1,9/28/21 12:09,R_10uxnOijM0Jvvkj,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,349.149,349.149,355.445,1,10.704,29.471,30.775,6,6,7,5,4,2,6.341,39.293,40.392,12,1,3,0,2,2,0,3,3,0,1,2.178,189.259,190.566,75,5,5,3,2,4,2,5,2,4,4,1,4,4,5,5,1,1,4,5,3,4,5,2,4,2,2,1,1,2,2,1,5,4,4,4,1,1,4,2,2,5,4,4,1,1,5,1,1,1,1,1,5,4,2,1,5,2,2,5,4,11.507,370.094,373.201,77,4,1,5,5,6,4,2,5,6,6,4,2,1,6,2,4,1,4,5,5,2,2,6,4,5,6,4,4,6,2,5,6,3,3,3,6,1,2,6,2,6,5,1,4,6,6,4,5,4,6,6,5,6,5,1,5,5,10.403,73.583,81.924,15,7,1,2,1,7,6,2,7,7,2,1,1,21.055,98.036,98.91,23,3,5,5,3,1,3,1,2,2,7,6,4,7,5,4,5,6,6,25.081,151.277,153.509,23,6,6,6,6,7,5,5,6,4,5,2,3,3,3,3,1,1,2,2,1,6.449,14.38,15.821,4,4,3,4,15.278,44.677,45.872,9,5,3,1,7,3,6,29.181,158.83,159.786,29,5,3,5,2,2,1,5,5,2,5,2,3,5,3,3,3,3,3,3,2,14.933,190.34,190.775,43,3,7,1,3,2,6,5,6,7,5,6,6,6,6,2,4,7,7,4,1,2,5,6,1,3,5,5,4,1,3,5,3,1,1,3,7,7,7,7,7,5,7,3,3,1,1,1,1,7,7,1.203,40.38,42.1,11,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,Argentina,2,Argentina,4,3,8,NA,4.8,1,0,11,6.2,5,2.8,1.4,7,Hispanic/Latin,-0.105934623,-0.184184509,-0.164503014,0,0.336472237
